Subject,Age,Sex,Retrieval_Type,Retrieval_Type_RT,Age_at_Encoding,Vividness,Emo_Intensity,Valence,Perspective,Experiment,Word_Presented,Cue_Type
1,19,Male,Generative,16845,11,4,1,5,Observer,1,Humorous,Emotion
1,19,Male,Direct,3183,9,3,1,5,Observer,1,Amazed,Emotion
1,19,Male,Direct,8731,17,4,2,5,Observer,1,Devoted,Emotion
1,19,Male,Direct,13455,14,4,4,3,Field,1,Eager,Emotion
1,19,Male,Direct,1699,19,4,2,5,Field,1,Enjoying,Emotion
1,19,Male,Direct,2974,16,5,4,5,DK,1,Excited,Emotion
1,19,Male,Direct,4302,17,5,2,5,DK,1,Happy,Emotion
1,19,Male,Direct,4415,16,3,4,3,DK,1,Hopeful,Emotion
1,19,Male,Direct,11700,18,3,3,5,Observer,1,Proud,Emotion
1,19,Male,Direct,6614,17,3,2,4,Observer,1,Relieved,Emotion
1,19,Male,Direct,1636,19,5,3,5,DK,1,Apple,Object
1,19,Male,Direct,2698,14,3,2,1,DK,1,Arm,Object
1,19,Male,Direct,2805,18,3,1,2,Field,1,Book,Object
1,19,Male,Direct,20835,17,5,2,5,DK,1,Car,Object
1,19,Male,Direct,1538,18,4,2,5,Field,1,Grass,Object
1,19,Male,Direct,29346,12,4,2,2,Field,1,Insect,Object
1,19,Male,Direct,3602,17,3,3,3,Observer,1,Potato,Object
1,19,Male,Direct,31573,13,3,2,5,DK,1,River,Object
1,19,Male,Direct,3090,18,2,3,3,Field,1,Salad,Object
1,19,Male,DK,18498,10,3,2,3,Field,1,Chair,Object
2,19,Male,Generative,8921,19,3,2,3,DK,1,Devoted,Emotion
2,19,Male,Generative,1822,18,4,3,5,Observer,1,Excited,Emotion
2,19,Male,Generative,14161,18,5,3,5,Observer,1,Happy,Emotion
2,19,Male,Generative,9119,18,4,4,1,Observer,1,Hopeful,Emotion
2,19,Male,Generative,21098,18,4,2,5,Observer,1,Proud,Emotion
2,19,Male,Direct,15522,18,4,4,5,Observer,1,Amazed,Emotion
2,19,Male,Direct,26262,8,2,1,2,Observer,1,Eager,Emotion
2,19,Male,Direct,13207,10,2,3,5,Observer,1,Enjoying,Emotion
2,19,Male,Direct,1707,9,1,2,5,Observer,1,Humorous,Emotion
2,19,Male,Direct,4519,17,5,5,4,DK,1,Relieved,Emotion
2,19,Male,Generative,11517,14,5,4,1,Observer,1,Chair,Object
2,19,Male,Generative,3721,15,4,4,2,Observer,1,River,Object
2,19,Male,Generative,7559,19,4,1,3,Field,1,Salad,Object
2,19,Male,Direct,16156,12,5,3,5,Observer,1,Apple,Object
2,19,Male,Direct,14005,4,4,5,1,Observer,1,Arm,Object
2,19,Male,Direct,1717,13,4,3,3,Observer,1,Book,Object
2,19,Male,Direct,24305,11,2,3,4,Observer,1,Car,Object
2,19,Male,Direct,2582,18,4,4,4,Field,1,Grass,Object
2,19,Male,Direct,1308,14,2,3,4,Observer,1,Potato,Object
2,19,Male,DK,16043,7,3,4,1,Field,1,Insect,Object
3,18,Female,Generative,5360,18,5,3,5,DK,1,Amazed,Emotion
3,18,Female,Direct,1414,17,4,4,4,DK,1,Enjoying,Emotion
3,18,Female,Direct,5951,18,5,4,5,Observer,1,Excited,Emotion
3,18,Female,Direct,2261,17,3,3,5,DK,1,Happy,Emotion
3,18,Female,Direct,15661,11,4,2,3,Observer,1,Humorous,Emotion
3,18,Female,Direct,3840,17,5,5,4,Field,1,Proud,Emotion
3,18,Female,Direct,2497,16,4,4,2,Observer,1,Relieved,Emotion
3,18,Female,DK,2092,16,2,2,2,DK,1,Devoted,Emotion
3,18,Female,DK,5737,17,2,2,3,DK,1,Eager,Emotion
3,18,Female,DK,2918,17,3,3,3,DK,1,Hopeful,Emotion
3,18,Female,Generative,1821,16,3,3,3,DK,1,Apple,Object
3,18,Female,Generative,11568,13,3,2,3,Field,1,Book,Object
3,18,Female,Generative,1207,18,4,3,3,Observer,1,Salad,Object
3,18,Female,Direct,2627,70,1,1,3,DK,1,Arm,Object
3,18,Female,Direct,2007,18,4,4,5,Observer,1,Car,Object
3,18,Female,Direct,1575,13,2,3,3,DK,1,Chair,Object
3,18,Female,Direct,5986,17,3,2,4,Field,1,Grass,Object
3,18,Female,Direct,2032,15,4,4,4,DK,1,Insect,Object
3,18,Female,Direct,2190,18,5,3,4,DK,1,Potato,Object
3,18,Female,Direct,1513,16,4,4,5,DK,1,River,Object
4,38,Male,Generative,4673,38,5,4,3,Observer,1,Amazed,Emotion
4,38,Male,Generative,6436,38,4,2,4,Field,1,Devoted,Emotion
4,38,Male,Generative,13943,22,5,2,2,Field,1,Eager,Emotion
4,38,Male,Generative,5796,38,4,2,4,Field,1,Excited,Emotion
4,38,Male,Generative,3190,32,2,1,2,Observer,1,Happy,Emotion
4,38,Male,Generative,13862,37,1,3,2,Observer,1,Hopeful,Emotion
4,38,Male,Generative,7114,38,2,1,5,Field,1,Humorous,Emotion
4,38,Male,Generative,8054,24,3,4,5,Field,1,Relieved,Emotion
4,38,Male,Direct,9027,34,5,2,5,Field,1,Enjoying,Emotion
4,38,Male,Direct,10078,37,4,2,5,Observer,1,Proud,Emotion
4,38,Male,Generative,2639,38,4,3,3,Field,1,Apple,Object
4,38,Male,Generative,10929,39,3,3,2,DK,1,Arm,Object
4,38,Male,Generative,6500,38,2,2,3,Field,1,Book,Object
4,38,Male,Generative,6600,33,2,2,5,Observer,1,Car,Object
4,38,Male,Generative,3419,37,3,2,4,Observer,1,Chair,Object
4,38,Male,Generative,4824,38,5,3,3,Observer,1,Grass,Object
4,38,Male,Generative,2941,38,4,2,2,Field,1,Potato,Object
4,38,Male,Generative,5569,34,4,3,5,DK,1,River,Object
4,38,Male,Direct,9605,37,4,3,2,Observer,1,Salad,Object
4,38,Male,DK,17335,11,2,1,3,Field,1,Insect,Object
5,18,Female,Generative,1327,18,5,5,5,Field,1,Amazed,Emotion
5,18,Female,Generative,1335,55,2,5,4,Observer,1,Proud,Emotion
5,18,Female,Direct,1299,16,5,5,5,Field,1,Devoted,Emotion
5,18,Female,Direct,1072,2,1,3,3,Field,1,Eager,Emotion
5,18,Female,Direct,1500,25,2,3,2,Field,1,Happy,Emotion
5,18,Female,Direct,1143,30,2,1,1,Field,1,Hopeful,Emotion
5,18,Female,Direct,6364,11,3,4,2,Field,1,Humorous,Emotion
5,18,Female,Direct,1320,18,2,5,5,Field,1,Relieved,Emotion
5,18,Female,DK,2790,12,1,2,3,Observer,1,Enjoying,Emotion
5,18,Female,DK,1395,18,5,4,3,Observer,1,Excited,Emotion
5,18,Female,Generative,2655,21,1,1,2,Observer,1,Apple,Object
5,18,Female,Generative,1526,23,1,1,3,Observer,1,Chair,Object
5,18,Female,Generative,1885,2,1,1,3,Observer,1,Salad,Object
5,18,Female,Direct,1319,21,2,3,2,Field,1,Book,Object
5,18,Female,Direct,1651,32,2,3,3,Field,1,Car,Object
5,18,Female,Direct,943,21,1,3,2,Observer,1,Grass,Object
5,18,Female,Direct,2090,80,2,1,2,Field,1,Insect,Object
5,18,Female,Direct,1135,22,1,1,2,Observer,1,Potato,Object
5,18,Female,DK,1836,23,1,1,3,DK,1,Arm,Object
5,18,Female,DK,1446,23,1,2,3,DK,1,River,Object
6,30,Female,Generative,2149,30,4,3,4,Observer,1,Amazed,Emotion
6,30,Female,Generative,4795,30,2,2,3,Observer,1,Eager,Emotion
6,30,Female,Generative,12327,30,5,3,5,Observer,1,Enjoying,Emotion
6,30,Female,Generative,4552,30,4,4,5,Observer,1,Happy,Emotion
6,30,Female,Generative,5197,30,3,3,4,Observer,1,Hopeful,Emotion
6,30,Female,Generative,2931,30,4,4,5,Observer,1,Humorous,Emotion
6,30,Female,Generative,4334,30,4,3,5,Observer,1,Proud,Emotion
6,30,Female,Generative,4917,30,3,1,4,Observer,1,Relieved,Emotion
6,30,Female,Direct,4533,30,5,4,5,Observer,1,Devoted,Emotion
6,30,Female,Direct,12141,33,5,4,5,Field,1,Excited,Emotion
